ppi;epsilon;from;to;x;y;stepsize;sampledvalue;n;mean;stddev;rmse;truevalue;functionset
ReturnedIn28Days;0.1;2013-11-01T00:00:00.000Z;2014-02-28T23:59:59.999Z;23.0;0.019386298563525837;1.0;10.0;150;17.45665107443285;13.651965787336497;15.247296747827596;10.666666666666668;[Standard, Sum_lap, Sum_exp]
ReturnedIn28Days;0.1;2013-11-01T00:00:00.000Z;2014-02-28T23:59:59.999Z;24.0;0.01754144833749494;1.0;10.0;150;17.45665107443285;13.651965787336497;15.247296747827596;10.666666666666668;[Standard, Sum_lap, Sum_exp]
ReturnedIn28Days;0.1;2013-11-01T00:00:00.000Z;2014-02-28T23:59:59.999Z;25.0;0.016685941806984322;1.0;10.0;150;17.45665107443285;13.651965787336497;15.247296747827596;10.666666666666668;[Standard, Sum_lap, Sum_exp]
ReturnedIn28Days;0.1;2013-11-01T00:00:00.000Z;2014-02-28T23:59:59.999Z;26.0;0.01509806450212997;1.0;10.0;150;17.45665107443285;13.651965787336497;15.247296747827596;10.666666666666668;[Standard, Sum_lap, Sum_exp]
ReturnedIn28Days;0.1;2013-11-01T00:00:00.000Z;2014-02-28T23:59:59.999Z;27.0;0.01436172320743574;1.0;10.0;150;17.45665107443285;13.651965787336497;15.247296747827596;10.666666666666668;[Standard, Sum_lap, Sum_exp]
ReturnedIn28Days;0.1;2013-11-01T00:00:00.000Z;2014-02-28T23:59:59.999Z;28.000000000000004;0.01299502454556328;1.0;10.0;150;17.45665107443285;13.651965787336497;15.247296747827596;10.666666666666668;[Standard, Sum_lap, Sum_exp]
ReturnedIn28Days;0.1;2013-11-01T00:00:00.000Z;2014-02-28T23:59:59.999Z;30.0;0.011184921280205722;1.0;10.0;150;17.45665107443285;13.651965787336497;15.247296747827596;10.666666666666668;[Standard, Sum_lap, Sum_exp]
ReturnedIn28Days;0.1;2013-11-01T00:00:00.000Z;2014-02-28T23:59:59.999Z;31.0;0.010639426232455881;1.0;10.0;150;17.45665107443285;13.651965787336497;15.247296747827596;10.666666666666668;[Standard, Sum_lap, Sum_exp]
ReturnedIn28Days;0.1;2013-11-01T00:00:00.000Z;2014-02-28T23:59:59.999Z;32.0;0.009626950961559442;1.0;10.0;150;17.45665107443285;13.651965787336497;15.247296747827596;10.666666666666668;[Standard, Sum_lap, Sum_exp]
ReturnedIn28Days;0.1;2013-11-01T00:00:00.000Z;2014-02-28T23:59:59.999Z;33.0;0.009157439022860784;1.0;10.0;150;17.45665107443285;13.651965787336497;15.247296747827596;10.666666666666668;[Standard, Sum_lap, Sum_exp]
ReturnedIn28Days;0.1;2013-11-01T00:00:00.000Z;2014-02-28T23:59:59.999Z;34.0;0.008285993481267087;1.0;10.0;150;17.45665107443285;13.651965787336497;15.247296747827596;10.666666666666668;[Standard, Sum_lap, Sum_exp]
ReturnedIn28Days;0.1;2013-11-01T00:00:00.000Z;2014-02-28T23:59:59.999Z;35.0;0.007881880810602362;1.0;10.0;150;17.45665107443285;13.651965787336497;15.247296747827596;10.666666666666668;[Standard, Sum_lap, Sum_exp]
ReturnedIn28Days;0.1;2013-11-01T00:00:00.000Z;2014-02-28T23:59:59.999Z;36.0;0.0071318206819326185;1.0;10.0;150;17.45665107443285;13.651965787336497;15.247296747827596;10.666666666666668;[Standard, Sum_lap, Sum_exp]
ReturnedIn28Days;0.1;2013-11-01T00:00:00.000Z;2014-02-28T23:59:59.999Z;37.0;0.00678399768291705;1.0;10.0;150;17.45665107443285;13.651965787336497;15.247296747827596;10.666666666666668;[Standard, Sum_lap, Sum_exp]
ReturnedIn28Days;0.1;2013-11-01T00:00:00.000Z;2014-02-28T23:59:59.999Z;38.0;0.006138414947372597;1.0;10.0;150;17.45665107443285;13.651965787336497;15.247296747827596;10.666666666666668;[Standard, Sum_lap, Sum_exp]
ReturnedIn28Days;0.1;2013-11-01T00:00:00.000Z;2014-02-28T23:59:59.999Z;39.0;0.005839040917735818;1.0;10.0;150;17.45665107443285;13.651965787336497;15.247296747827596;10.666666666666668;[Standard, Sum_lap, Sum_exp]
